industry,origin_city,dest_tier,shipments_per_day,avg_weight,avg_distance_km,pct_same_day,pct_4hr,peak_window,on_time_importance,current_provider,cur_delivery_time_hr,cur_cost_aed,fuel_cost,driver_wage,vehicle_type,maint_cost_per_km,delay_rate_pct,delay_reason,delay_churn_pct,csat_current,nps_current,repeat_rate,complaint_count,complaint_category,faster_rev_impact,sales_uplift_pct,premium_wtp,cost_vs_speed,switch_likelihood,avg_stops,return_pickups_pct,traffic_level,cold_chain_pct,cust_time_pref,speed_rankings,price_rankings,switch_reason,adoption_drivers,churn_threshold,target_cost_per_km,fuel_sensitivity_pct,desired_cost_redux,roi_months,primary_kpi
e-commerce,Ajman,Tier-1 urban,41.96,6.25,27.6,9.22,39.25,10 am–2 pm,4,Competitor A,5.79,16.49,3.2,22.58,Truck,0.71,33.02,Traffic,54.44,8,-15,15.2,2,Late delivery,No,23.32,1.04,Both equal,1,2,16,Heavy,12,Evening,"[2, 1, 3, 4, 5]","[2, 4, 1, 5, 3]",Cost,"AI ETA accuracy, 24/7 support, COD handling",5 misses,2.43,16.79,18.79,9,CSAT
other,Sharjah,Tier-1 urban,90.1,1.63,16.64,52.76,37.6,2–6 pm,4,Competitor B,8.02,32.82,3.53,25.99,Van,5.0,19.65,Vehicle breakdown,19.06,2,54,42.21,0,Late delivery,No,40.11,3.86,Cost over speed,2,1,42,Moderate,29,Morning,"[4, 5, 1, 2, 3]","[4, 3, 5, 1, 2]",Service,COD handling,After 1 miss,1.99,29.88,21.79,1,Cost per delivery
fashion,Ras Al Khaimah,Tier-1 urban,24.8,7.27,31.8,27.99,61.16,6–10 pm,1,Traditional 3PL,4.01,60.55,3.22,17.77,Van,1.56,27.96,Traffic,2.59,8,-97,35.96,0,Late delivery,No,34.75,3.38,Both equal,3,8,78,Moderate,8,Afternoon,"[5, 2, 1, 4, 3]","[2, 1, 4, 5, 3]",Cost,"AI ETA accuracy, Real-time tracking, COD handling",After 1 miss,1.62,28.82,18.87,6,Delivery time
e-commerce,Dubai,Tier-1 urban,25.53,1.4,18.96,36.01,18.25,2–6 pm,3,Traditional 3PL,7.23,20.14,4.05,10.24,Truck,1.79,12.84,Wrong routing,26.93,3,-13,21.53,2,Late delivery,Yes,16.67,8.48,Both equal,2,9,39,Moderate,23,Afternoon,"[4, 2, 3, 1, 5]","[2, 3, 4, 1, 5]",Speed,"Real-time tracking, AI ETA accuracy",3 misses,2.88,16.35,22.77,2,CSAT
e-commerce,Abu Dhabi,Tier-1 urban,39.49,6.72,6.85,55.16,14.88,10 am–2 pm,4,Competitor B,3.54,25.63,3.2,17.53,Bike,0.85,13.3,Customs,9.13,10,55,66.78,2,High cost,Yes,3.47,3.72,Cost over speed,5,2,78,Light,87,Afternoon,"[4, 3, 5, 2, 1]","[5, 4, 2, 1, 3]",Cost,"Real-time tracking, AI ETA accuracy, 24/7 support",3 misses,1.96,7.53,35.13,7,Cost per delivery
e-commerce,Dubai,Rural,167.17,4.38,16.95,66.36,35.15,2–6 pm,5,Traditional 3PL,1.59,5.0,3.17,19.48,Van,0.5,34.35,Vehicle breakdown,37.86,8,78,37.22,0,Damaged goods,Yes,30.53,1.46,Cost over speed,3,7,41,Heavy,90,Afternoon,"[4, 5, 2, 3, 1]","[5, 4, 3, 2, 1]",Reliability,"CO₂ reporting, COD handling",3 misses,2.5,37.42,26.68,11,Cost per delivery
pharma,Dubai,Tier-2 suburban,53.33,7.02,11.51,17.37,25.81,6–10 am,3,Competitor A,4.04,45.05,3.24,15.97,Van,1.47,16.65,Vehicle breakdown,16.82,7,91,20.51,1,Late delivery,Yes,49.02,9.3,Both equal,2,3,26,Moderate,86,Evening,"[3, 5, 1, 2, 4]","[1, 3, 4, 2, 5]",Speed,"Real-time tracking, COD handling, CO₂ reporting",5 misses,1.12,26.29,53.49,9,Delivery time
groceries,Dubai,Rural,18.81,0.33,22.77,36.59,41.31,6–10 am,1,Competitor B,5.89,43.19,2.57,21.75,Van,0.83,31.13,Driver shortage,41.68,1,-78,19.99,1,Late delivery,Yes,38.34,5.13,Speed over cost,5,7,34,Heavy,21,Morning,"[3, 4, 1, 5, 2]","[5, 2, 1, 3, 4]",Speed,"COD handling, Real-time tracking",3 misses,2.46,16.83,62.58,8,Delivery time
groceries,Dubai,Tier-2 suburban,41.56,18.42,12.03,18.84,14.79,2–6 pm,5,Competitor A,3.64,17.93,3.68,20.02,Bike,1.39,19.93,Wrong routing,32.38,7,80,30.1,3,Late delivery,Yes,27.26,1.0,Both equal,5,5,61,Moderate,60,Afternoon,"[5, 3, 1, 4, 2]","[2, 4, 5, 3, 1]",Speed,24/7 support,5 misses,1.95,17.12,58.2,10,Cost per delivery
pharma,Dubai,Tier-1 urban,27.58,0.2,10.57,14.56,48.44,10 am–2 pm,2,Competitor B,9.82,26.02,3.26,27.63,Truck,1.79,20.29,Wrong routing,25.21,9,71,6.08,2,Late delivery,No,32.39,9.97,Cost over speed,4,3,33,Moderate,41,Morning,"[3, 4, 1, 5, 2]","[1, 3, 4, 5, 2]",Cost,"CO₂ reporting, 24/7 support, Real-time tracking",After 1 miss,1.82,48.21,32.67,10,Delivery time
electronics,Dubai,Tier-1 urban,23.37,3.27,3.91,59.48,13.82,6–10 pm,5,Competitor A,4.99,25.3,4.14,21.25,Bike,0.88,7.67,Traffic,36.78,4,-68,51.61,0,Damaged goods,Yes,43.68,5.36,Both equal,5,3,18,Moderate,71,Morning,"[1, 5, 4, 3, 2]","[2, 5, 4, 3, 1]",Service,"CO₂ reporting, Real-time tracking",After 1 miss,1.13,34.64,17.94,8,On-time %
e-commerce,Dubai,Tier-1 urban,52.21,0.2,1.0,32.26,26.14,10 am–2 pm,4,Traditional 3PL,4.43,22.65,3.11,18.33,Truck,5.0,28.37,Traffic,24.83,8,-58,21.92,0,Late delivery,Yes,15.25,0.0,Both equal,2,6,60,Heavy,15,Afternoon,"[5, 4, 2, 3, 1]","[2, 4, 1, 5, 3]",Speed,"CO₂ reporting, Real-time tracking, AI ETA accuracy",Would stay,0.96,20.93,6.29,6,Cost per delivery
pharma,Ras Al Khaimah,Tier-1 urban,83.45,2.37,62.45,23.22,14.48,10 am–2 pm,1,Traditional 3PL,7.36,22.48,4.16,27.46,Van,1.59,11.45,Vehicle breakdown,52.17,9,73,61.83,2,Late delivery,Yes,6.79,1.71,Cost over speed,1,6,20,Moderate,58,Morning,"[5, 3, 2, 1, 4]","[5, 1, 3, 2, 4]",Reliability,"CO₂ reporting, Real-time tracking",3 misses,3.17,24.75,60.39,3,Delivery time
pharma,Dubai,Tier-2 suburban,30.72,3.46,6.35,39.07,22.68,2–6 pm,2,Traditional 3PL,4.37,17.27,3.52,16.62,Van,1.05,24.67,Wrong routing,42.32,3,91,72.28,0,Late delivery,No,29.28,1.61,Speed over cost,5,2,92,Moderate,67,Morning,"[2, 1, 3, 4, 5]","[3, 4, 1, 5, 2]",Service,"24/7 support, CO₂ reporting, Real-time tracking",After 1 miss,2.38,33.18,1.63,5,Cost per delivery
groceries,Sharjah,Tier-2 suburban,23.01,6.48,18.12,45.08,27.54,2–6 pm,4,Traditional 3PL,9.34,22.56,3.41,23.02,Bike,1.51,23.5,Traffic,43.75,2,7,46.85,0,Damaged goods,Yes,6.44,5.99,Both equal,5,6,96,Light,30,Afternoon,"[2, 4, 1, 3, 5]","[1, 2, 4, 3, 5]",Cost,"Real-time tracking, COD handling, 24/7 support",5 misses,1.89,50.72,34.73,9,CSAT
fashion,Dubai,Tier-1 urban,39.39,2.08,10.22,18.51,23.62,10 am–2 pm,4,Traditional 3PL,1.0,25.19,6.0,10.0,Van,0.74,16.38,Driver shortage,14.73,6,70,32.35,1,Late delivery,Yes,44.15,4.33,Speed over cost,4,5,45,Heavy,31,Anytime,"[4, 3, 5, 2, 1]","[3, 2, 1, 4, 5]",Speed,COD handling,3 misses,2.92,18.37,52.03,6,CSAT
e-commerce,Ras Al Khaimah,Tier-1 urban,57.58,6.91,17.35,36.19,16.76,10 am–2 pm,3,Traditional 3PL,9.42,31.12,6.0,20.92,Bike,1.66,37.7,Driver shortage,19.51,3,-42,32.24,1,Late delivery,Yes,21.71,9.85,Both equal,2,7,27,Moderate,58,Evening,"[2, 1, 5, 3, 4]","[2, 3, 5, 4, 1]",Cost,"24/7 support, COD handling, Real-time tracking",3 misses,3.66,38.8,20.17,9,On-time %
groceries,Ajman,Tier-1 urban,78.5,7.24,32.84,46.77,15.13,2–6 pm,4,Traditional 3PL,4.62,7.18,2.84,31.67,Bike,1.38,40.9,Traffic,7.8,2,52,25.81,1,Poor support,No,14.37,2.69,Both equal,1,8,21,Moderate,44,Morning,"[1, 2, 3, 4, 5]","[1, 3, 5, 2, 4]",Tech features,"24/7 support, COD handling, AI ETA accuracy",After 1 miss,3.34,37.3,11.16,3,CSAT
groceries,Sharjah,Tier-1 urban,5.0,1.38,33.32,30.11,17.13,10 am–2 pm,1,Traditional 3PL,5.27,27.57,3.51,25.78,Truck,1.78,19.45,Wrong routing,27.48,7,-5,22.92,2,Late delivery,No,31.27,0.55,Both equal,5,1,31,Light,28,Afternoon,"[1, 2, 5, 4, 3]","[4, 1, 3, 2, 5]",Speed,"AI ETA accuracy, 24/7 support",5 misses,2.12,32.37,27.11,6,CSAT
e-commerce,Sharjah,Tier-1 urban,28.33,7.42,41.86,27.04,53.47,6–10 am,2,Competitor A,3.4,33.72,3.9,18.47,Van,1.98,16.6,Wrong routing,15.07,4,24,13.34,1,Late delivery,Yes,31.03,10.81,Both equal,1,9,85,Moderate,90,Afternoon,"[5, 1, 3, 4, 2]","[1, 5, 3, 4, 2]",Cost,"COD handling, CO₂ reporting, Real-time tracking",After 1 miss,2.44,34.29,35.13,9,Cost per delivery
electronics,Dubai,Tier-2 suburban,1.0,0.75,10.7,10.84,21.74,2–6 pm,1,Competitor B,6.44,15.77,3.27,17.34,Van,2.53,46.26,Wrong routing,37.01,4,-18,30.65,2,Late delivery,No,32.74,10.89,Speed over cost,3,7,46,Moderate,12,Morning,"[1, 3, 4, 5, 2]","[1, 4, 2, 3, 5]",Reliability,"AI ETA accuracy, COD handling",After 1 miss,2.21,11.31,51.27,4,Cost per delivery
e-commerce,Ras Al Khaimah,Tier-1 urban,47.7,0.2,15.22,30.16,16.62,6–10 am,3,Traditional 3PL,8.07,17.7,2.3,11.45,Truck,1.1,21.36,Wrong routing,45.19,8,53,43.94,2,Damaged goods,No,40.72,3.92,Both equal,3,7,73,Moderate,81,Morning,"[4, 3, 1, 2, 5]","[3, 1, 4, 5, 2]",Speed,"CO₂ reporting, Real-time tracking, COD handling",After 1 miss,1.34,52.58,33.71,11,On-time %
e-commerce,Ajman,Tier-2 suburban,21.81,9.66,6.05,12.29,41.77,6–10 pm,2,Competitor B,12.82,29.76,6.0,21.98,Bike,1.43,49.97,Traffic,36.99,9,-70,9.21,0,Late delivery,No,49.13,4.62,Cost over speed,3,8,12,Heavy,78,Morning,"[2, 1, 5, 4, 3]","[2, 1, 3, 5, 4]",Service,24/7 support,5 misses,0.86,24.58,32.01,6,Cost per delivery
other,Ajman,Tier-1 urban,15.52,2.92,17.74,62.0,22.47,2–6 pm,2,Traditional 3PL,2.49,17.41,4.31,24.97,Van,1.42,5.15,Traffic,5.43,9,-67,25.75,0,Late delivery,No,47.58,11.18,Cost over speed,4,1,13,Moderate,88,Afternoon,"[1, 3, 2, 5, 4]","[1, 3, 2, 5, 4]",Service,"CO₂ reporting, AI ETA accuracy, 24/7 support",5 misses,3.57,17.97,32.65,11,On-time %
other,Sharjah,Tier-1 urban,67.81,1.95,16.73,48.5,18.05,6–10 pm,2,In-house,3.94,19.11,2.23,27.68,Van,1.53,46.66,Traffic,68.65,10,84,16.02,0,Late delivery,Yes,20.17,4.6,Cost over speed,1,2,4,Heavy,44,Evening,"[1, 4, 3, 5, 2]","[4, 2, 3, 5, 1]",Tech features,COD handling,After 1 miss,3.36,8.81,32.95,8,CO₂ emissions
fashion,Dubai,Tier-2 suburban,8.11,1.49,11.29,40.4,34.38,10 am–2 pm,1,Traditional 3PL,24.0,15.63,2.91,19.09,Van,1.24,9.61,Wrong routing,7.56,4,29,37.62,4,Late delivery,No,16.86,8.21,Both equal,5,6,25,Moderate,68,Afternoon,"[5, 2, 4, 1, 3]","[3, 4, 5, 1, 2]",Cost,"Real-time tracking, COD handling, 24/7 support",3 misses,1.97,45.33,16.2,3,CO₂ emissions
pharma,Ajman,Tier-2 suburban,59.26,13.98,25.49,26.24,29.33,6–10 pm,5,Competitor B,4.68,11.1,3.48,26.23,Truck,1.55,42.86,Traffic,10.1,10,-45,63.42,1,Late delivery,Yes,22.4,12.26,Both equal,5,2,97,Light,37,Anytime,"[2, 3, 1, 4, 5]","[3, 5, 2, 4, 1]",Cost,"24/7 support, AI ETA accuracy, COD handling",After 1 miss,2.25,17.62,26.7,4,CSAT
e-commerce,Dubai,Tier-1 urban,50.92,0.2,18.25,7.83,9.3,6–10 am,1,Traditional 3PL,6.27,15.18,3.98,17.8,Truck,1.43,33.3,Customs,14.87,6,-25,43.38,0,Late delivery,No,36.63,2.93,Speed over cost,5,6,1,Moderate,100,Morning,"[3, 5, 4, 1, 2]","[1, 3, 2, 5, 4]",Tech features,"Real-time tracking, 24/7 support, CO₂ reporting",3 misses,2.52,13.72,33.82,5,CO₂ emissions
electronics,Abu Dhabi,Rural,62.09,4.66,26.35,19.15,48.67,6–10 am,2,In-house,6.51,13.86,2.88,17.53,Van,0.89,7.25,Driver shortage,34.3,6,-55,49.35,3,Late delivery,No,52.49,10.49,Both equal,3,7,94,Moderate,32,Anytime,"[4, 2, 5, 1, 3]","[3, 4, 1, 5, 2]",Tech features,"Real-time tracking, CO₂ reporting",After 1 miss,2.08,9.54,45.72,10,Delivery time
groceries,Dubai,Tier-1 urban,24.47,3.02,1.0,24.12,34.42,6–10 am,1,Competitor B,10.16,5.0,6.0,26.6,Van,1.61,1.21,Wrong routing,41.57,1,87,8.89,3,Late delivery,No,33.09,7.58,Speed over cost,3,3,89,Moderate,68,Afternoon,"[2, 4, 1, 3, 5]","[5, 2, 1, 3, 4]",Speed,Real-time tracking,Would stay,2.76,6.51,33.86,9,CO₂ emissions
e-commerce,Ras Al Khaimah,Tier-1 urban,42.61,0.42,15.47,22.75,21.08,10 am–2 pm,3,Traditional 3PL,7.06,20.24,2.17,26.11,Van,1.12,24.56,Wrong routing,10.57,5,29,40.57,1,Late delivery,Yes,49.8,4.43,Cost over speed,2,8,24,Moderate,82,Morning,"[3, 1, 4, 2, 5]","[2, 3, 1, 4, 5]",Speed,24/7 support,5 misses,2.27,27.05,8.57,11,Delivery time
groceries,Dubai,Tier-2 suburban,43.87,1.7,22.54,58.47,10.74,6–10 am,5,Competitor A,4.31,100.0,3.05,17.47,Van,1.69,18.91,Traffic,34.54,5,-3,31.63,1,Late delivery,Yes,31.65,5.05,Cost over speed,3,4,31,Heavy,21,Anytime,"[1, 3, 5, 4, 2]","[1, 4, 3, 2, 5]",Speed,"24/7 support, AI ETA accuracy",3 misses,5.0,23.72,22.89,11,CSAT
e-commerce,Dubai,Tier-2 suburban,45.04,0.42,13.37,20.1,39.08,10 am–2 pm,3,Traditional 3PL,3.84,26.1,2.99,19.24,Van,2.53,37.3,Traffic,19.89,10,-56,29.58,2,Damaged goods,Yes,30.19,8.14,Cost over speed,3,3,36,Light,47,Afternoon,"[3, 5, 1, 4, 2]","[3, 1, 5, 2, 4]",Service,24/7 support,5 misses,2.09,19.58,41.44,6,On-time %
other,Abu Dhabi,Tier-1 urban,25.44,5.42,27.77,49.77,45.69,10 am–2 pm,5,Traditional 3PL,3.26,9.76,3.32,23.81,Bike,0.95,44.42,Traffic,28.35,1,-94,12.08,0,Damaged goods,Yes,9.22,0.0,Both equal,1,7,74,Heavy,81,Afternoon,"[1, 2, 5, 4, 3]","[4, 1, 5, 3, 2]",Service,"AI ETA accuracy, COD handling, 24/7 support",After 1 miss,2.6,15.57,29.15,4,CSAT
pharma,Sharjah,Tier-1 urban,140.55,2.46,1.0,52.82,44.91,10 am–2 pm,5,Traditional 3PL,3.6,17.49,3.28,25.95,Bike,0.76,16.18,Driver shortage,3.53,1,23,38.08,0,Late delivery,Yes,70.92,3.34,Both equal,4,6,33,Moderate,21,Morning,"[1, 4, 2, 3, 5]","[2, 5, 3, 4, 1]",Cost,"24/7 support, AI ETA accuracy, CO₂ reporting",5 misses,2.59,2.64,27.93,2,On-time %
electronics,Sharjah,Rural,52.39,0.2,11.06,39.69,27.2,2–6 pm,3,Competitor A,7.26,44.32,3.39,21.44,Truck,0.92,31.82,Vehicle breakdown,70.61,9,-52,3.67,0,High cost,Yes,8.34,0.0,Cost over speed,2,1,48,Moderate,0,Morning,"[1, 3, 4, 2, 5]","[5, 4, 1, 3, 2]",Speed,AI ETA accuracy,3 misses,2.07,12.08,20.39,8,Delivery time
pharma,Dubai,Tier-1 urban,39.83,5.02,22.27,51.07,12.83,6–10 am,2,Traditional 3PL,1.43,21.58,3.58,24.08,Bike,3.69,41.39,Vehicle breakdown,27.31,4,-4,44.9,0,Late delivery,No,27.85,0.67,Both equal,1,7,77,Moderate,45,Anytime,"[2, 5, 4, 3, 1]","[5, 4, 1, 3, 2]",Cost,"AI ETA accuracy, COD handling, Real-time tracking",3 misses,0.65,29.18,17.8,4,Delivery time
groceries,Dubai,Tier-1 urban,119.61,4.72,17.48,4.13,17.66,2–6 pm,2,Competitor A,4.15,8.72,3.35,20.35,Van,1.61,55.3,Driver shortage,60.92,10,19,45.94,2,High cost,No,24.4,4.22,Cost over speed,2,8,92,Moderate,72,Afternoon,"[2, 4, 5, 1, 3]","[3, 5, 4, 1, 2]",Cost,"AI ETA accuracy, Real-time tracking",5 misses,2.13,6.2,12.78,1,CSAT
groceries,Sharjah,Tier-2 suburban,70.95,1.97,7.58,19.09,36.35,10 am–2 pm,1,Competitor B,8.05,92.46,2.46,25.63,Truck,1.83,17.69,Vehicle breakdown,14.45,4,-24,38.32,1,Late delivery,Yes,8.08,10.46,Both equal,5,7,92,Heavy,29,Anytime,"[3, 5, 2, 4, 1]","[3, 1, 4, 2, 5]",Cost,"Real-time tracking, COD handling, CO₂ reporting",Would stay,2.24,35.69,31.4,6,Delivery time
e-commerce,Ras Al Khaimah,Rural,50.62,5.2,6.64,56.8,34.87,6–10 pm,2,Traditional 3PL,7.47,5.0,3.95,18.1,Van,2.24,9.82,Customs,49.81,7,56,19.91,1,Late delivery,Yes,54.49,4.24,Cost over speed,2,6,0,Heavy,62,Afternoon,"[3, 2, 4, 5, 1]","[3, 5, 4, 1, 2]",Cost,COD handling,5 misses,5.0,49.25,36.69,8,CO₂ emissions
other,Ajman,Tier-1 urban,18.94,2.98,18.61,18.9,33.12,10 am–2 pm,5,Traditional 3PL,8.35,17.05,3.26,20.23,Van,2.2,14.52,Customs,48.83,10,-29,63.39,0,Damaged goods,Yes,8.59,8.97,Speed over cost,4,2,31,Moderate,52,Morning,"[2, 3, 5, 1, 4]","[1, 4, 2, 5, 3]",Cost,"AI ETA accuracy, COD handling",5 misses,2.08,43.82,35.09,6,On-time %
fashion,Abu Dhabi,Tier-2 suburban,28.62,5.53,17.99,20.42,19.91,6–10 pm,1,Competitor A,2.95,16.93,3.14,19.94,Bike,1.05,20.4,Wrong routing,33.06,3,37,8.45,2,Damaged goods,Yes,20.8,1.75,Both equal,1,5,69,Moderate,4,Morning,"[5, 2, 4, 1, 3]","[4, 1, 2, 5, 3]",Speed,CO₂ reporting,5 misses,1.94,38.36,23.47,5,Delivery time
other,Ras Al Khaimah,Tier-2 suburban,68.04,0.2,12.98,2.36,23.92,10 am–2 pm,3,Traditional 3PL,5.39,20.51,3.01,21.56,Truck,1.51,34.18,Traffic,52.44,9,-36,13.74,1,Late delivery,Yes,40.48,5.87,Cost over speed,3,1,33,Moderate,23,Afternoon,"[4, 1, 5, 2, 3]","[4, 5, 1, 3, 2]",Cost,"COD handling, Real-time tracking, CO₂ reporting",3 misses,2.96,14.44,19.04,6,CO₂ emissions
fashion,Abu Dhabi,Tier-1 urban,88.29,5.39,18.97,16.37,4.32,6–10 pm,1,Traditional 3PL,5.63,24.03,3.42,11.91,Bike,1.59,7.48,Traffic,37.84,3,-88,52.31,1,Poor support,Yes,30.13,4.25,Both equal,4,9,17,Heavy,2,Morning,"[2, 5, 1, 4, 3]","[5, 2, 1, 3, 4]",Service,24/7 support,After 1 miss,2.26,3.99,23.04,10,CSAT
groceries,Abu Dhabi,Tier-2 suburban,23.58,4.99,1.0,22.61,18.9,6–10 am,5,Competitor A,5.76,35.53,3.17,33.94,Van,1.8,18.54,Customs,34.47,1,55,16.51,2,Poor support,Yes,27.68,7.13,Cost over speed,2,7,57,Moderate,24,Evening,"[2, 5, 3, 4, 1]","[2, 1, 3, 5, 4]",Reliability,"Real-time tracking, 24/7 support, CO₂ reporting",3 misses,2.17,11.93,14.96,2,Delivery time
other,Abu Dhabi,Rural,45.94,7.97,17.1,40.46,30.03,2–6 pm,3,Traditional 3PL,7.03,5.0,2.95,21.36,Van,5.0,8.03,Traffic,29.06,8,-64,12.86,0,Late delivery,Yes,15.36,4.86,Speed over cost,2,2,39,Heavy,9,Morning,"[2, 3, 5, 1, 4]","[1, 3, 5, 4, 2]",Service,"AI ETA accuracy, Real-time tracking, CO₂ reporting",After 1 miss,1.84,37.18,61.76,9,CO₂ emissions
e-commerce,Abu Dhabi,Tier-1 urban,42.89,3.07,1.0,49.44,19.18,2–6 pm,3,Traditional 3PL,4.74,37.1,2.99,18.4,Van,1.28,52.86,Traffic,36.51,1,30,57.18,0,Damaged goods,Yes,38.08,4.68,Cost over speed,3,4,39,Moderate,83,Anytime,"[5, 1, 2, 4, 3]","[4, 2, 3, 5, 1]",Reliability,AI ETA accuracy,After 1 miss,2.29,11.24,28.01,1,Cost per delivery
e-commerce,Sharjah,Tier-1 urban,44.47,3.08,25.04,43.45,57.54,6–10 am,2,Competitor B,4.76,31.7,3.3,20.02,Bike,2.31,55.04,Traffic,28.61,9,32,53.23,2,High cost,Yes,58.19,7.85,Cost over speed,4,3,76,Moderate,13,Anytime,"[4, 5, 3, 1, 2]","[4, 3, 2, 5, 1]",Reliability,"Real-time tracking, COD handling",5 misses,2.0,14.9,36.54,3,Delivery time
